"# images and their seed count with appropriate H, S, B values for color thresholding",,,,,,,,,,,,,,,,,,,
"# H_lower, H_upper, S_lower, S_upper, B_lower, B_upper are the lower and upper HSB values",,,,,,,,,,,,,,,,,,,
# bulk_sampled refer to samples obtained from entire binary image,,,,,,,,,,,,,,,,,,,
# bulk_sampled_total_area is the number of pixels occupied by all objects in binary image,,,,,,,,,,,,,,,,,,,
"# solo_sampled refer to stats based on object properties obtained after filtering with the pixel size(generally, 400-2000 px^2) that selects for single seeds only",,,,,,,,,,,,,,,,,,,
# actual_count is the painstakenly couted total number of grains in whole image,,,,,,,,,,,,,,,,,,,
# solo_adjustment is arbitrarily chosen after viewing the histogram distribution,,,,,,,,,,,,,,,,,,,
file,line,actual_count,predicted_count,segmentation_alg_count,bulk_sampled_count,bulk_sampled_total_area,bulk_sampled_average_area,solo_sampled_avg_area,solo_sampled_sd,solo_sampled_count,solo_min_area,solo_max_area,solo_adjustment,H_lower,H_upper,S_lower,S_upper,B_lower,B_upper
20170505_214846.jpg,954,1510074,1566.467,33.935,255,,,,,,,,,,,,,,
20170505_214823.jpg,619,916152,1456.521,21.754,255,,,,,,,,,,,,,,
20170505_214641.jpg,880,1378224,1552.054,36.701,255,,,,,,,,,,,,,,
20170505_214310.jpg,692,942851,1568.804,24.006,255,,,,,,,,,,,,,,
20170505_214158.jpg,695,1171285,1661.397,29.068,255,,,,,,,,,,,,,,
20170505_213949.jpg,716,1136428,1563.175,32.458,255,,,,,,,,,,,,,,
20170505_213929.jpg,600,990701,1624.1,22.697,255,,,,,,,,,,,,,,
20170505_213610.jpg,798,1179495,1461.58,32.072,255,,,,,,,,,,,,,,
20170505_213604.jpg,500,860982,1698.189,23.595,255,,,,,,,,,,,,,,
20170505_213318.jpg,910,1139164,1249.083,32.451,255,,,,,,,,,,,,,,
20170505_213312.jpg,776,1003685,1293.409,26.323,255,,,,,,,,,,,,,,
20170505_213105.jpg,896,1219980,1355.533,32.42,255,,,,,,,,,,,,,,
20170505_212752.jpg,548,918734,1661.363,25.516,255,,,,,,,,,,,,,,
20170505_212518.jpg,842,1320479,1544.42,39.058,255,,,,,,,,,,,,,,
20170505_212426.jpg,683,1017525,1476.814,26.79,255,,,,,,,,,,,,,,
20170505_211805.jpg,767,1368322,1756.511,36.814,255,,,,,,,,,,,,,,
20170505_211801.jpg,785,1342699,1691.057,37.185,255,,,,,,,,,,,,,,
20170505_211156.jpg,400,836556,2065.57,24.609,255,,,,,,,,,,,,,,
20170505_211032.jpg,545,1018423,1848.318,26.924,255,,,,,,,,,,,,,,
20170503_135308.jpg,957,1909038,1974.186,44.285,255,,,,,,,,,,,,,,
20170503_134834.jpg,1152,1860979,1593.304,45.505,255,,,,,,,,,,,,,,
20170503_132601.jpg,936,1614468,1699.44,39.021,255,,,,,,,,,,,,,,
20170503_131943.jpg,1139,1782588,1538.04,39.743,255,,,,,,,,,,,,,,
20170503_131311.jpg,810,1503768,1824.961,38.944,255,,,,,,,,,,,,,,
20170503_130857.jpg,706,1009725,1420.148,27.303,255,,,,,,,,,,,,,,
20170503_130053.jpg,780,1321586,1677.14,28.787,255,,,,,,,,,,,,,,
20170503_125447.jpg,936,1716992,1834.393,41.675,255,,,,,,,,,,,,,,
20170503_124311.jpg,826,1405043,1690.786,27.637,255,,,,,,,,,,,,,,
20170503_115916.jpg,772,1179552,1516.134,26.842,255,,,,,,,,,,,,,,
20170503_115504.jpg,735,1239752,1675.341,31.854,255,,,,,,,,,,,,,,
20170503_114859.jpg,495,1279546,2548.896,32.626,255,,,,,,,,,,,,,,
20170503_114431.jpg,836,1527070,1826.639,35.697,255,,,,,,,,,,,,,,
20170503_113657.jpg,900,1705862,1880.774,43.827,255,,,,,,,,,,,,,,
20170503_112540.jpg,575,1233221,2133.6,38.503,255,,,,,,,,,,,,,,
20170503_112514.jpg,579,1280399,2173.852,39.205,255,,,,,,,,,,,,,,
