# SPAD,,,,,
# Date recorded: 29th falgun,,,,,
,,,,,
plot,spad1,spad2,spad3,spad4,
227,35.7,35.1,37,,
228,25,35.2,28.9,,
229,29.9,22,,,
230,36.6,35.8,,,
231,41.3,45.2,44,,
232,45.9,45.3,40.1,,
233,41.8,40.8,,,
234,21.2,30,,,
235,24,37.4,,,
236,33,38.4,,,
237,30.1,44.7,,,
238,37.6,32.2,29,,row_complete
239,,,,,
240,,,,,
