# canopy temperature and spad were recorded as follows,,,,,,,,,,,
"# initially serpentine recording taking 2 super columns at once, starting at 1st row(north facing)",,,,,,,,,,,
"# after completion in two supercolumns, remaining three supercolumns were taken at once during recording, starting at 12th row at the completion point of intitial 2-supercol record.",,,,,,,,,,,
Plot,CTD_1_Feb23,CTD_2_Feb23,CTD_3_Feb23,CTD_4_Feb23,Ambient_Temperature_Feb23,Ctemp_plotinfo.,SPAD_1,SPAD_2,SPAD_3,SPAD_4,
79,15.6,15.6,17.5,15.6,,,52,51.8,50,53.8,
80,17.2,18.1,17.5,,,row_complete,50.3,46.4,50.3,,row_complete
81,16.9,17.3,18.2,17.1,,,48.9,51.2,55.3,50.9,
82,18.1,17.6,18,,,,46.6,44,51.6,,
83,16.5,16.2,15.6,16.7,,,45.1,40.8,35.9,46.1,
84,16.6,17.4,15.8,,,,44.4,40.8,44.7,,
85,17.5,16.5,17.4,16.4,,,41.9,44.9,51,44,
86,16.2,15.8,14.9,15.7,,,40.4,39.4,37.1,39,
87,14.9,15.2,15.8,,,,45.9,42.6,45.7,,
88,17.6,16.5,19.6,,25.8,row_complete,47.4,48.4,48.8,,row_complete
89,14.7,16.3,14.6,15.1,,,47,49.2,47,46.2,
90,14.2,14,15.7,14.4,,,51.4,46.7,45.4,49.7,
91,17.2,16.9,17.1,,,,44.2,50.5,45,,
92,16.9,18,16.7,,,,43,48.1,39,,
93,17.8,18.1,19.2,,,,48.3,48.7,42.6,,
94,17.5,18.4,17.1,,,,46.7,44.8,51.5,,
95,17.1,17.6,18.2,,,,39,47.8,52.7,,
96,17.2,18.2,18.7,18.1,26,two superblocks done,47.2,42.7,40.1,48.5,row_complete
97,17.3,16.7,16.7,,,,44.6,40.9,43.4,,
98,18,17,16.1,,,,51.7,42.5,48.5,,
99,15.2,15.9,17.5,16.9,,,46.9,45.1,38.6,40,
100,17.5,17.2,17.9,16.6,,,53.6,48.4,46,47.2,
101,16.2,17,16.9,17.1,,,47.8,46.9,52.5,53,
102,17,15.7,16.8,,26.4,,50,43.5,48.2,,
103,16.7,16.1,17.3,17.3,,,40.7,46.7,37.5,43.5,
104,17.5,16.8,16.1,,,,45,45.3,42.5,,
105,16.5,16.4,15.8,16.6,,,44.7,41.9,35.6,43.5,
106,16.7,17.2,16.4,,,,40.7,48.6,40.5,,
107,17.6,15.4,15.9,,,,49.2,47.3,50.1,,
108,15.2,16.2,16.6,16.5,26.1,row_complete,47,46.5,46.2,46.4,row_complete
109,15.2,16.4,15.9,,,,53,40.9,41.6,,
110,16.9,16,16.7,16.2,,,41,43.5,43.3,41.6,
111,17.6,17.3,16.9,17.2,,,49.1,42.2,21.1,42.4,
112,18.9,21.8,19.3,,,,38.6,43.8,38.2,,
113,16.9,17.3,17.3,16.5,,,40.7,43,42.2,40.4,
