"plot","row","col","rowgroup","colgroup","lin_check","leaf_dec_27","spread_dec_27","insect_score_dec_27","disease_score_dec_27","leaf_dec_27.1","spread_dec_27.1","insect_score_dec_27.1","disease_score_dec_27.1","leaf_dec_27.2","spread_dec_27.2","insect_score_dec_27.2","disease_score_dec_27.2","leaf_dec_27.3","spread_dec_27.3","insect_score_dec_27.3","disease_score_dec_27.3","leaf_dec_27.4","spread_dec_27.4","insect_score_dec_27.4","disease_score_dec_27.4","leaf_dec_27.5","spread_dec_27.5","insect_score_dec_27.5","disease_score_dec_27.5","remarks_dec_27"
212,8,18,5,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
224,8,19,5,3,"L91",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,5,0,"yellowing, wilting"
236,8,20,5,3,"L44",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spot, no tag"
235,7,20,5,3,"2",NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
223,7,19,5,3,"4",NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
211,7,18,5,3,"L29",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,5,2,NA,NA,10,0,NA,NA,NA,NA,""
199,7,17,5,3,"L21",NA,NA,5,0,NA,NA,10,0,NA,NA,15,0,NA,NA,5,0,NA,NA,0,0,NA,NA,NA,NA,"ND"
187,7,16,4,3,"2",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
175,7,15,4,3,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
163,7,14,4,3,"1",NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sucking damage"
151,7,13,4,3,"L84",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,5,0,NA,NA,0,0,""
139,7,12,3,3,"1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app, biting damage"
127,7,11,3,3,"L87",NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,""
115,7,10,3,3,"L18",NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,2,"bug"
103,7,9,3,3,"2",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
91,7,8,2,3,"L15",NA,NA,10,0,NA,NA,5,1,NA,NA,5,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,""
79,7,7,2,3,"L72",NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,"yellowing, app"
67,7,6,2,3,"3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellow"
55,7,5,2,3,"3",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
43,7,4,1,3,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND, wilt"
31,7,3,1,3,"2",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
19,7,2,1,3,"L6",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"app, lower side"
7,7,1,1,3,"1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
6,6,1,1,2,"L45",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"wilt, yellow"
18,6,2,1,2,"2",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
30,6,3,1,2,"L8",NA,NA,0,5,NA,NA,0,2,NA,NA,5,5,NA,NA,0,4,NA,NA,0,5,NA,NA,0,5,"app, wilt++"
42,6,4,1,2,"1",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
54,6,5,2,2,"L65",NA,NA,0,0,NA,NA,15,0,NA,NA,10,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"app"
66,6,6,2,2,"2",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
78,6,7,2,2,"4",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
90,6,8,2,2,"3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app-"
102,6,9,3,2,"L103",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,"sparse, ND, slow growth"
114,6,10,3,2,"2",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
126,6,11,3,2,"L69",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,NA,NA,"wilt, ND"
138,6,12,3,2,"3",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
150,6,13,4,2,"3",NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
162,6,14,4,2,"L48",NA,NA,5,0,NA,NA,0,0,NA,NA,10,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"yellow, wilt"
174,6,15,4,2,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app-"
186,6,16,4,2,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
198,6,17,5,2,"L70",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,""
210,6,18,5,2,"L19",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ND, high growth"
222,6,19,5,2,"1",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
234,6,20,5,2,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
233,5,20,5,2,"L36",NA,NA,10,0,NA,NA,10,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,NA,NA,""
221,5,19,5,2,"L90",NA,NA,10,0,NA,NA,5,0,NA,NA,10,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,""
209,5,18,5,2,"4",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
197,5,17,5,2,"3",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,""
185,5,16,4,2,"L52",NA,NA,5,0,NA,NA,0,0,NA,NA,10,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,"app, yellow"
173,5,15,4,2,"L14",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,"wilt, yellow, aphid"
161,5,14,4,2,"2",NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
149,5,13,4,2,"2",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"app"
137,5,12,3,2,"2",NA,NA,5,2,NA,NA,0,0,NA,NA,0,0,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,"app"
125,5,11,3,2,"L23",NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,NA,NA,NA,NA,"yellow"
113,5,10,3,2,"3",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"yellow"
101,5,9,3,2,"L105",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,"ND"
89,5,8,2,2,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
77,5,7,2,2,"3",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
65,5,6,2,2,"L42",NA,NA,0,1,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,""
