lin_check,Genotype,rowgroup,colgroup,row,col,yield7,panicle_len7,thou_grain_wt7,grain_per_pan7,effective_tiller7,dis_march15,greenness_z65,greenness_z75,greenness_z85,LAUG_65_75,LAUG_75_85,plht,lar,ctd,chl_ind1_2,chl_ind2_2,days_to_head,days_to_anth,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,line_or_check,check_or_line,is_line,is_check,conv,conf,interaction_rc
2,Bhrikuti,5,4,17,12,3.65907812790904,14.50522505072907,29.9793721294378,22.8045611786533,34,4,7.71,7.58,4.92,122.761582966296,103.110793740967,98,55.53181779389689,8.67666667,45.63333333,30.35,61,72,Spikes appearing,Three fourth of spikes appeared,Spikes have fully emerged,Anthesis stage II,Anthesis advanced plus,,check,2,0,1,0,1,5.4
4,Tilottama,5,4,18,12,4.668831740323,16.905273385510576,34.7799109867738,33.4731612640402,40,5,7.53,6.93,3.73,108.07267813732,88.5317235441525,106,43.542305552331115,9.415000000000001,46.26666667,37.8,61,71,One fourth of spikes appeared,Three fourth of spikes appeared,Spikes have fully emerged minus,Anthesis stage II plus,Anthesis advanced plus,,check,4,0,1,0,1,5.4
L95,KAUZ//ALTAR 84/AOS/3/MILAN/KAUZ/4/SAUAL/5/...,5,4,19,12,,15.37256893014202,,,28,3,8.06,3.43,2.09,92.0775535935012,43.1795087585395,99,39.547506674648,9.620000000000001,47.95,37.63333333,70,78,Booting,Booting,Spikes appearing minus,Three fourth of spikes appeared,Anthesis stage I,Watery stage minus,L95,line,1,0,1,0,5.4
L88,MUNAL #1*2/4/HUW234+LR34/PRINIA//PBW343*2/...,5,4,20,12,,16.477431742494375,,,23,2,8.8,5.91,5.65,104.929602144256,81.7382321889884,100.5,33.84174445678389,10.225,50.025,38.06666667,72,80,Booting,Booting,Swollen boot minus,Spikes appearing,Three fourth of spikes appeared,Watery stage,L88,line,1,0,1,0,5.4
1,Aditya,5,4,20,11,2.7560995795413303,17.98842730106031,38.4307049296362,32.1849477771377,21,2,8.5,8.26,5.37,118.697375774436,70.3643350426738,94,38.86555555416111,10.129999999999999,45.36666667,41.2,67,75,Swollen boot,Awns appearing,One fourth of spikes appeared minus,Spikes have fully emerged plus,Anthesis stage III,,check,1,0,1,0,1,5.4
4,Tilottama,5,4,19,11,2.82989070149313,17.012749341876706,39.2474935459265,24.5323484908895,31,5,7.95,4.93,3.97,95.0050050449844,53.4405591992991,99,44.90955555933611,10.335,42.63333333,30.15,59,72,Half spikes appeared,Spikes have fully emerged,Spikes have fully emerged plus,Anthesis stage II,Anthesis advanced,,check,4,0,1,0,1,5.4
L49,WAXWING/KRONSTAD F2004//2*FRNCLN,5,4,18,11,3.49,17.386040717246043,29.3815467196399,31.8717720830921,36,3,8.34,5.26,5.06,99.9518575493641,64.6433553886351,96.5,41.767999994250005,10.965,41.06666667,38.3,73,82,Before booting,Before booting,Swollen boot minus,Awns appearing minus,Spikes appearing plus,Watery stage minus,L49,line,1,0,1,0,5.4
L38,BAJ #1*2/BECARD,5,4,17,11,,16.548224035938137,,,24,6.5,8.47,5.94,5.79,97.4906559566052,82.3332453398332,96.5,36.543999993599996,10.52,39.925,21,70,78,Booting,Booting,Awns appearing plus,Half spikes appeared,Spikes have fully emerged,Watery stage minus,L38,line,1,0,1,0,5.4
3,Gautam,4,4,16,11,3.2825410841939204,18.634082175333173,34.5238045192775,30.1248548106953,27,3,7.73,6.61,4.04,113.469138673599,74.3902094307186,107,43.66944443013889,8.61666667,45.66666667,38.6,69,72,Booting,Spikes appearing,Spikes appearing plus,Anthesis stage II,Anthesis stage III,,check,3,0,1,0,1,4.4
2,Bhrikuti,4,4,15,11,2.77390172204705,15.424659779859802,44.607086645064,26.785379690144,24,5,7.8,4.77,3.93,90.8631096627286,73.6162256077714,95,46.439039994299996,10.62166667,44.16666667,35.3,64,73,Spikes appearing,One fourth of spikes appeared,Half spikes appeared plus,Anthesis stage I,Anthesis advanced,,check,2,0,1,0,1,4.4
